times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
750.00000000,4.45084262,3.44818793,3.59026461,1.84661853,0.00000000,0.00000000
780.00000000,6.00083328,3.03973683,4.00499688,2.56124969,0.00000000,0.00000000
810.00000000,5.25452186,4.62168800,4.78434949,2.34307490,0.00000000,0.00000000
840.00000000,6.97495520,5.66127194,4.71593045,2.36643191,0.00000000,0.00000000
870.00000000,4.92036584,5.66038868,4.45084262,2.38537209,0.00000000,0.00000000
900.00000000,5.04876222,7.46726188,5.23067873,3.55105618,0.00000000,0.00000000
930.00000000,4.26145515,7.56372924,4.94873721,2.73678644,0.00000000,0.00000000
960.00000000,3.84187454,7.63478880,4.44522215,4.28485706,0.00000000,0.00000000
990.00000000,5.35630470,8.72066511,4.80000000,2.32594067,0.00000000,0.00000000
1020.00000000,5.40740233,9.15204895,6.68505797,2.10713075,0.00000000,0.00000000
1050.00000000,8.60000000,11.38463877,6.57951366,2.25610283,0.00000000,0.00000000
1080.00000000,6.92892488,9.47417543,4.54862617,3.34065862,0.00000000,0.00000000
1110.00000000,4.96487663,8.47407812,3.95094925,3.90384426,0.00000000,0.00000000
1140.00000000,8.37854403,8.98665678,3.75366488,4.45421149,0.00000000,0.00000000
1170.00000000,11.01090369,8.99777750,3.92555729,3.55105618,0.00000000,0.00000000
1200.00000000,11.35297318,8.18290902,5.82151183,2.68514432,0.00000000,0.00000000
1230.00000000,12.87672319,9.46361453,5.71751694,2.83019434,0.00000000,0.00000000
1260.00000000,13.52035502,10.07174265,5.86941224,3.13847097,0.00000000,0.00000000
1290.00000000,15.48579995,9.67264183,4.81663783,2.45153013,0.00000000,0.00000000
1320.00000000,14.62908063,9.67677632,5.42678542,2.36854386,0.00000000,0.00000000
1350.00000000,13.95170241,10.37737925,6.01996678,2.83548938,0.00000000,0.00000000
1380.00000000,11.57756451,10.32279032,6.75943785,3.23882695,0.00000000,0.00000000
1410.00000000,11.98707637,11.18436409,7.67072356,2.96647939,0.00000000,0.00000000
1440.00000000,13.63964809,11.43503389,5.44426304,2.48193473,0.00000000,0.00000000
1470.00000000,12.79882807,11.56892389,4.93558507,3.20780299,0.00000000,0.00000000
1500.00000000,14.07870733,10.40000000,5.27351875,3.38378486,0.00000000,0.00000000
1530.00000000,13.20000000,9.30000000,7.65571682,3.95094925,0.00000000,0.00000000
1560.00000000,13.78005806,8.68101377,9.38083152,3.70000000,0.00000000,0.00000000
1590.00000000,11.68075340,10.40432602,8.24378554,2.49198716,0.00000000,0.00000000
1620.00000000,9.52890340,10.46709129,6.95413546,3.03973683,0.00000000,0.00000000
1650.00000000,10.77775487,10.60377291,6.32534584,3.26343377,0.00000000,0.00000000
1680.00000000,10.35808863,11.18078709,6.41950154,2.69258240,0.00000000,0.00000000
1710.00000000,9.18912401,12.15894732,7.21456859,2.27156334,0.00000000,0.00000000
1740.00000000,11.85917366,11.70640850,8.60000000,3.75366488,0.00000000,0.00000000
1770.00000000,8.23468275,12.48238759,10.21028893,2.90516781,0.00000000,0.00000000
1800.00000000,6.67532771,9.56504051,7.05762000,3.79605058,0.00000000,0.00000000
1830.00000000,7.00071425,12.36972110,6.09918027,4.34626276,0.00000000,0.00000000
1860.00000000,9.69742234,14.69727866,6.63626401,5.66127194,0.00000000,0.00000000
1890.00000000,12.01707119,15.82908715,5.10000000,5.88982173,0.00000000,0.00000000
1920.00000000,13.55876101,16.13970260,4.94368284,4.84664833,0.00000000,0.00000000
1950.00000000,12.68424219,15.02131818,6.05722709,5.47722558,0.00000000,0.00000000
