times, live_std, apoptotic_std, necrotic_std
1440.00000000,19.91481860,2.52982213,0.00000000
1470.00000000,21.09241570,2.57681975,0.00000000
1500.00000000,21.37872775,2.33238076,0.00000000
1530.00000000,21.85978042,2.61533937,0.00000000
1560.00000000,23.88911886,2.04939015,0.00000000
1590.00000000,23.74973684,2.28910463,0.00000000
1620.00000000,25.09980080,2.45153013,0.00000000
1650.00000000,25.81104415,2.90516781,0.00000000
1680.00000000,26.51584432,3.34664011,0.00000000
1710.00000000,28.29840985,3.42928564,0.00000000
1740.00000000,29.96681498,4.24852916,0.00000000
1770.00000000,32.13782818,4.58366665,0.00000000
1800.00000000,32.40694370,4.85386444,0.00000000
1830.00000000,32.80685904,4.81767579,0.00000000
1860.00000000,33.37064578,4.26145515,0.00000000
1890.00000000,33.41616375,4.03608721,0.00000000
1920.00000000,35.00628515,4.43734155,0.00000000
1950.00000000,35.29079200,4.29534632,0.00000000
1980.00000000,35.04582714,3.95094925,0.00000000
2010.00000000,35.82192066,4.20000000,0.00000000
2040.00000000,36.54312521,3.03315018,0.00000000
2070.00000000,36.75105441,3.23109888,0.00000000
2100.00000000,37.65315392,3.00665928,0.00000000
2130.00000000,38.06520721,2.45764115,0.00000000
2160.00000000,40.49456754,3.13049517,0.00000000
2190.00000000,39.98862338,2.68514432,0.00000000
2220.00000000,41.60396616,2.83019434,0.00000000
2250.00000000,43.61433251,3.07245830,0.00000000
2280.00000000,44.89498858,3.07245830,0.00000000
2310.00000000,47.20391933,3.06594194,0.00000000
2340.00000000,49.99009902,2.93428015,0.00000000
2370.00000000,50.09241460,3.09192497,0.00000000
2400.00000000,51.16258398,2.66270539,0.00000000
2430.00000000,54.02416126,2.65329983,0.00000000
2460.00000000,54.58433841,2.65329983,0.00000000
2490.00000000,55.06369040,3.49857114,0.00000000
2520.00000000,52.51295078,3.47131099,0.00000000
2550.00000000,54.27347418,3.38230691,0.00000000
2580.00000000,56.21787972,2.86530976,0.00000000
2610.00000000,57.80692000,3.16227766,0.00000000
2640.00000000,58.72146115,3.68917335,0.00000000
2670.00000000,60.99213064,4.66476152,0.00000000
2700.00000000,62.38309066,4.31740663,0.00000000
2730.00000000,61.76050518,4.75815090,0.00000000
2760.00000000,60.92257381,4.83838816,0.00000000
2790.00000000,62.56324800,4.99599840,0.00000000
2820.00000000,64.15208492,4.60868745,0.00000000
2850.00000000,65.53960635,4.70000000,0.00000000
2880.00000000,66.92563037,4.79165942,0.00000000
2910.00000000,67.81511631,4.10974452,0.00000000
2940.00000000,68.96926852,3.80131556,0.00000000
2970.00000000,70.26528304,3.40000000,0.00000000
3000.00000000,72.29273822,3.76961536,0.00000000
3030.00000000,74.04458117,3.71618084,0.00000000
3060.00000000,74.52657244,2.76405499,0.00000000
3090.00000000,76.02394360,2.60000000,0.00000000
3120.00000000,76.68272296,2.52982213,0.00000000
3150.00000000,77.13002010,2.28254244,0.00000000
3180.00000000,79.46200350,2.07123152,0.00000000
3210.00000000,83.85725967,2.23830293,0.00000000
3240.00000000,83.52011734,3.31662479,0.00000000
3270.00000000,85.46367649,2.73678644,0.00000000
3300.00000000,86.63169166,2.35796522,0.00000000
3330.00000000,86.77418971,2.64764046,0.00000000
3360.00000000,87.34048317,3.07245830,0.00000000
3390.00000000,88.76237942,3.35410197,0.00000000
3420.00000000,93.59187999,3.16859590,0.00000000
3450.00000000,94.31993427,3.15594677,0.00000000
3480.00000000,93.99090382,4.39203825,0.00000000
3510.00000000,94.37033432,5.31883446,0.00000000
3540.00000000,97.90510712,4.92848861,0.00000000
3570.00000000,100.06417941,4.64327471,0.00000000
3600.00000000,100.77479844,5.35163526,0.00000000
