times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std,apoptotic_std,necrotic_std
1170.00000000,19.81438871,28.55100699,10.69766330,7.73045924,5.23832034,0.00000000
1200.00000000,23.68311635,27.72020923,9.76933979,8.05232886,4.40567815,0.00000000
1230.00000000,32.61303420,25.24995050,12.17415295,6.25779514,3.84837628,0.00000000
1260.00000000,35.12548932,21.34104027,11.49782588,6.97137002,3.44093011,0.00000000
1290.00000000,31.98827910,19.07983228,11.92476415,7.34098086,3.64005494,0.00000000
1320.00000000,33.23266465,16.35512152,13.12859475,8.80965380,4.38634244,0.00000000
1350.00000000,29.18150099,14.34573107,13.33004126,10.25719260,4.81248377,0.00000000
1380.00000000,31.53236433,16.50939127,15.14727698,12.87788803,5.04876222,0.00000000
1410.00000000,30.11461439,23.78003364,10.88531120,12.23110788,5.61782876,0.00000000
1440.00000000,27.84528685,21.24052730,14.61129700,8.76413145,5.72800140,0.00000000
1470.00000000,26.11206618,22.47687701,10.63061616,5.13906606,5.08035432,0.00000000
1500.00000000,26.80373108,24.55931595,9.35735005,6.29682460,6.06712452,0.00000000
1530.00000000,23.91840296,25.04475993,12.52237997,7.95989950,5.92368129,0.00000000
1560.00000000,22.41428116,25.28319600,13.83473888,6.54522727,6.00083328,0.00000000
1590.00000000,24.47059460,26.79253627,13.10724990,4.31277173,6.54293512,0.00000000
1620.00000000,20.12063617,32.64061887,12.13424905,6.16522506,8.53287759,0.00000000
1650.00000000,19.72409694,34.18201281,15.24499918,4.67867503,10.24158191,0.00000000
1680.00000000,27.20459520,30.64898041,16.42680736,6.48768063,11.18436409,0.00000000
1710.00000000,27.03405260,34.42382896,18.10220981,9.26336872,10.30000000,0.00000000
1740.00000000,27.18529014,28.08843178,16.79761888,6.43506022,10.49952380,0.00000000
1770.00000000,29.50406752,29.42600890,16.58191786,10.60613030,9.26282894,0.00000000
1800.00000000,34.09237451,26.89981413,13.84232639,9.61457227,8.01560977,0.00000000
1830.00000000,23.78760181,27.02295321,18.28770078,10.99818167,8.98665678,0.00000000
1860.00000000,21.17640196,29.66479395,16.79404656,14.00321392,8.98665678,0.00000000
1890.00000000,24.89598361,33.07022830,22.43122823,10.02796091,9.13454980,0.00000000
1920.00000000,24.04662138,33.03952179,11.97038011,9.28224111,9.42549733,0.00000000
1950.00000000,30.04063914,29.21455117,19.02130385,4.36348485,9.54410813,0.00000000
1980.00000000,25.34738645,32.72246934,19.55402772,5.65331761,9.32737905,0.00000000
2010.00000000,29.24448666,37.00756679,20.57206844,6.45368112,8.02246845,0.00000000
2040.00000000,36.50493117,37.99486807,19.53970317,13.38693393,8.81816307,0.00000000
2070.00000000,36.97904812,37.78690249,21.61133962,10.70747403,6.71118469,0.00000000
2100.00000000,35.38997033,36.08600837,24.84028985,8.95600357,6.29682460,0.00000000
2130.00000000,34.53404118,31.91300675,23.59258358,9.64624279,6.75647837,0.00000000
2160.00000000,31.07024300,37.71259736,26.96386471,7.52329715,6.60378679,0.00000000
2190.00000000,30.40082236,37.67757954,27.50345433,7.79037868,7.29109045,0.00000000
2220.00000000,29.59662143,42.34867176,31.41910247,8.60232527,6.96347614,0.00000000
2250.00000000,16.68052757,45.76953135,33.63168149,12.41813190,7.66093989,0.00000000
2280.00000000,16.92453840,41.65921267,23.27681250,10.15923225,8.24681757,0.00000000
2310.00000000,16.54569430,49.00214281,24.61320784,6.20080640,8.19756061,0.00000000
2340.00000000,29.17190429,49.25200504,21.21885954,14.21829807,8.97775027,0.00000000
2370.00000000,36.95943723,44.92037400,22.68479667,13.40746061,10.22203502,0.00000000
2400.00000000,33.22664593,43.13189075,27.29908423,16.29263637,11.60215497,0.00000000
2430.00000000,23.99916665,46.52322001,21.54646143,15.08011936,11.07655181,0.00000000
2460.00000000,33.08186815,51.02362198,21.79357704,14.27024877,12.07849328,0.00000000
2490.00000000,44.40596807,44.85409680,21.29413065,14.50827350,11.44727042,0.00000000
2520.00000000,52.85300370,48.22862221,23.84533497,15.76102789,10.65879918,0.00000000
2550.00000000,46.09869846,41.27662777,25.04396135,9.02441134,10.71494284,0.00000000
2580.00000000,49.63315424,37.83767963,24.33125562,11.54166366,11.80508365,0.00000000
2610.00000000,52.74049677,43.21585357,29.11786393,15.91728620,13.43465668,0.00000000
2640.00000000,51.39299563,46.31641178,29.99483289,10.63766892,13.56502857,0.00000000
2670.00000000,46.16102252,49.52221724,25.38582282,12.30487708,13.78259772,0.00000000
2700.00000000,44.20226239,54.93823805,23.66854453,13.76553668,13.82787041,0.00000000
2730.00000000,37.74400615,65.00653813,22.04200535,15.52063143,11.58835623,0.00000000
2760.00000000,60.10332769,72.72276122,25.77673370,11.43896848,11.37365377,0.00000000
2790.00000000,56.71119819,69.48122048,26.11532117,9.77547953,11.38244262,0.00000000
2820.00000000,44.16605031,67.39436178,21.21343914,13.07707918,11.98707637,0.00000000
2850.00000000,51.06113982,69.64624900,25.63279150,9.33220231,11.09279045,0.00000000
2880.00000000,43.28059611,64.68546977,27.04366839,9.45515732,8.47584804,0.00000000
2910.00000000,48.51607981,58.96609195,31.41353212,14.52205220,8.50881895,0.00000000
2940.00000000,49.08197225,63.07107102,34.39825577,11.66876172,8.90000000,0.00000000
2970.00000000,50.16213712,65.86622807,38.52544614,11.52779250,8.66314031,0.00000000
3000.00000000,51.91878273,61.67625151,40.94679475,9.93227064,8.76584280,0.00000000
3030.00000000,55.89776382,61.41823833,44.73577986,8.34026378,11.31415043,0.00000000
3060.00000000,50.15615615,66.09001437,45.55974100,15.59519157,12.43422696,0.00000000
3090.00000000,61.15071545,61.78066040,45.99358651,20.33224041,11.63829884,0.00000000
3120.00000000,63.67071540,55.56266732,56.33613405,14.52893664,9.45727233,0.00000000
3150.00000000,56.67309767,62.02257653,44.33553879,15.29215485,9.48472456,0.00000000
3180.00000000,48.70985527,68.06643813,36.01680163,16.06984754,9.63587048,0.00000000
3210.00000000,59.73072911,65.08771005,27.06732347,13.66345491,9.18749150,0.00000000
3240.00000000,65.23656950,72.40718196,24.49591803,13.20757358,13.33454161,0.00000000
3270.00000000,62.46278892,71.79025003,18.29781408,15.61921893,13.74081511,0.00000000
3300.00000000,62.40544848,78.07566842,25.79069600,8.04735982,14.14072134,0.00000000
