times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
930.00000000,19.38968798,11.91175890,14.23692383,4.96890330,0.00000000
960.00000000,20.48316382,13.54400236,15.75436447,4.66476152,0.00000000
990.00000000,20.77883539,16.32176461,16.56532523,4.31856458,0.00000000
1020.00000000,20.99904760,14.28600714,13.79891300,5.35256948,0.00000000
1050.00000000,20.77113382,13.58270960,14.35409349,5.05568986,0.00000000
1080.00000000,28.15386297,18.70828693,16.69401090,5.40740233,0.00000000
1110.00000000,28.05280735,17.78791725,13.64880947,6.32139225,0.00000000
1140.00000000,25.31323764,15.71909667,16.58312395,5.34883165,0.00000000
1170.00000000,29.07576310,15.10496607,16.41219059,6.29364759,0.00000000
1200.00000000,31.14418084,16.86890631,18.97472002,6.00083328,0.00000000
1230.00000000,33.77573093,17.94575159,18.54292318,4.84148737,0.00000000
1260.00000000,34.38953329,14.86068639,18.35238404,5.06359556,0.00000000
1290.00000000,36.08323711,15.08774337,12.95414991,4.95580468,0.00000000
1320.00000000,34.75974683,13.83076281,18.79601021,5.54616985,0.00000000
1350.00000000,25.44720024,12.09338662,20.77402224,5.31130869,0.00000000
1380.00000000,27.25087155,20.07211997,23.71265485,7.05762000,0.00000000
1410.00000000,25.28240495,18.66788686,21.77820011,6.86731389,0.00000000
1440.00000000,28.46910606,17.53396704,18.53105502,5.45893763,0.00000000
1470.00000000,28.77655296,21.38901587,18.95916665,6.49307323,0.00000000
1500.00000000,28.72002786,23.49489306,19.81943491,6.21610811,0.00000000
1530.00000000,28.61188564,22.74840654,21.87784267,6.33166645,0.00000000
1560.00000000,36.22982197,20.98118204,24.63513751,5.71051661,0.00000000
1590.00000000,44.92671811,26.13446001,21.30633709,6.05722709,0.00000000
1620.00000000,37.05887208,24.45322065,22.99043279,6.46219777,0.00000000
1650.00000000,33.42169954,27.31318363,22.56213642,6.93974063,0.00000000
1680.00000000,37.83596173,21.95017084,23.11190170,6.28967408,0.00000000
1710.00000000,31.64869666,24.82760560,21.95358741,6.13921819,0.00000000
1740.00000000,39.17601307,23.17779109,28.68727941,7.52595509,0.00000000
1770.00000000,36.56282265,24.09336008,30.63021384,7.39188745,0.00000000
1800.00000000,35.17513326,29.58732837,31.58733924,7.16937933,0.00000000
1830.00000000,37.32023580,28.52384967,40.02948913,8.40000000,0.00000000
