times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
1020.00000000,7.00357052,6.08604962,4.57055795,2.84429253,0.00000000,0.00000000
1050.00000000,5.29244745,6.11555394,4.02616443,3.07245830,0.00000000,0.00000000
1080.00000000,7.67398202,5.67097875,3.40587727,2.83548938,0.00000000,0.00000000
1110.00000000,7.93473377,3.72692903,4.50000000,2.96647939,0.00000000,0.00000000
1140.00000000,12.17374223,3.52845575,5.07543102,2.06155281,0.00000000,0.00000000
1170.00000000,11.09459328,4.45982062,6.01331855,2.30000000,0.00000000,0.00000000
1200.00000000,12.34544450,5.21536192,5.86600375,2.90000000,0.00000000,0.00000000
1230.00000000,11.74776575,6.01996678,4.23792402,3.22645316,0.00000000,0.00000000
1260.00000000,11.96494881,7.59539334,4.95983871,3.31058907,0.00000000,0.00000000
1290.00000000,12.67438361,5.79309934,4.25323406,3.38969025,0.00000000,0.00000000
1320.00000000,11.00954132,6.73795221,3.87427413,3.28024389,0.00000000,0.00000000
1350.00000000,11.49130106,7.10000000,3.18747549,3.31662479,0.00000000,0.00000000
1380.00000000,9.41275730,9.48103370,3.73630834,2.56904652,0.00000000,0.00000000
1410.00000000,11.48259553,9.24391692,4.07553677,2.05182845,0.00000000,0.00000000
1440.00000000,10.38701112,8.81135631,4.86209831,3.10644491,0.00000000,0.00000000
1470.00000000,9.15641851,8.36719786,5.18555686,2.82842712,0.00000000,0.00000000
1500.00000000,7.75177399,7.86701977,5.53172667,4.01123422,0.00000000,0.00000000
1530.00000000,7.70778827,7.30479295,6.94622199,4.02492236,0.00000000,0.00000000
1560.00000000,6.03406994,8.88875694,8.16639455,3.61801050,0.00000000,0.00000000
1590.00000000,5.31130869,8.55628424,8.52349693,4.26731766,0.00000000,0.00000000
1620.00000000,6.22012862,8.18779580,7.63151361,3.11287648,0.00000000,0.00000000
1650.00000000,8.30722577,8.03990050,5.98748695,3.92937654,0.00000000,0.00000000
1680.00000000,10.52093152,6.16522506,5.46260011,3.07245830,0.00000000,0.00000000
1710.00000000,10.87382178,5.82151183,4.71593045,2.72029410,0.00000000,0.00000000
1740.00000000,12.61784451,5.03587132,5.36656315,2.90516781,0.00000000,0.00000000
1770.00000000,11.80847154,6.80881781,5.64358042,2.50798724,0.00000000,0.00000000
1800.00000000,11.48956048,7.08590150,6.29603050,3.37638860,0.00000000,0.00000000
1830.00000000,6.96850056,8.91122887,8.31925477,3.28785644,0.00000000,0.00000000
1860.00000000,6.18142378,10.69392351,7.85429819,3.48711915,0.00000000,0.00000000
1890.00000000,12.63526810,10.87612063,6.35688603,3.04138127,0.00000000,0.00000000
1920.00000000,13.96030086,9.87977733,5.91607978,2.53771551,0.00000000,0.00000000
1950.00000000,16.89378584,8.31865374,5.38887743,3.57910603,0.00000000,0.00000000
1980.00000000,13.62387610,10.31503757,3.51567917,2.93938769,0.00000000,0.00000000
2010.00000000,12.29796731,11.29424632,4.54862617,3.31813200,0.00000000,0.00000000
2040.00000000,13.13354484,10.44078541,4.26731766,2.02237484,0.00000000,0.00000000
2070.00000000,10.86692229,9.63327566,6.88476579,2.60000000,0.00000000,0.00000000
2100.00000000,12.42135258,11.71494772,8.60464991,2.92574777,0.00000000,0.00000000
2130.00000000,12.62893503,11.63615057,8.21218607,2.84429253,0.00000000,0.00000000
