times, Ki67_negative_std, Ki67_positive_premitotic_std, Ki67_positive_postmitotic_std, apoptotic_std, necrotic_std
960.00000000,5.72800140,5.40740233,8.41486779,0.00000000,0.00000000
990.00000000,6.25779514,5.86174036,7.19444230,0.00000000,0.00000000
1020.00000000,6.18061486,5.81721583,6.30555311,0.00000000,0.00000000
1050.00000000,6.56048779,6.22976725,6.45058137,0.00000000,0.00000000
1080.00000000,7.74854825,7.82879301,5.31413210,0.00000000,0.00000000
1110.00000000,7.18401002,7.49933330,7.35934780,0.00000000,0.00000000
1140.00000000,8.34505842,7.23602101,5.88982173,0.00000000,0.00000000
1170.00000000,8.68849814,6.77421582,6.42261629,0.00000000,0.00000000
1200.00000000,7.29383301,8.46167832,7.88669766,0.00000000,0.00000000
1230.00000000,10.27813213,10.87244223,11.48912529,0.00000000,0.00000000
1260.00000000,9.53362470,11.28007092,11.18212860,0.00000000,0.00000000
1290.00000000,8.63481326,10.99499886,11.30884609,0.00000000,0.00000000
1320.00000000,11.04717158,12.61308844,10.27423963,0.00000000,0.00000000
1350.00000000,11.64645869,11.28716085,9.20651943,0.00000000,0.00000000
1380.00000000,11.87265766,9.86965045,8.30000000,0.00000000,0.00000000
1410.00000000,10.94029250,11.07971119,9.70772888,0.00000000,0.00000000
1440.00000000,9.83920729,9.42390577,8.54634425,0.00000000,0.00000000
1470.00000000,8.70000000,10.22203502,10.47902667,0.00000000,0.00000000
1500.00000000,8.63075895,10.15135459,10.46135746,0.00000000,0.00000000
1530.00000000,7.95550124,9.62756459,13.32854081,0.00000000,0.00000000
1560.00000000,9.02219485,6.01664358,11.03675677,0.00000000,0.00000000
1590.00000000,8.20304821,6.11882342,9.66643678,0.00000000,0.00000000
1620.00000000,7.45654075,8.63075895,9.59218432,0.00000000,0.00000000
1650.00000000,7.98060148,8.86848352,8.64927743,0.00000000,0.00000000
1680.00000000,8.57904424,11.50478161,8.56796359,0.00000000,0.00000000
1710.00000000,10.59056184,13.22459829,9.15914843,0.00000000,0.00000000
1740.00000000,11.45425685,12.90929897,7.91770169,0.00000000,0.00000000
1770.00000000,11.95156893,14.35444182,7.97245257,0.00000000,0.00000000
1800.00000000,10.70000000,12.49959999,4.40567815,0.00000000,0.00000000
1830.00000000,7.51065909,12.90891165,4.67867503,0.00000000,0.00000000
1860.00000000,8.20975030,13.68941197,6.08687112,0.00000000,0.00000000
1890.00000000,10.24158191,14.46236495,7.34574707,0.00000000,0.00000000
1920.00000000,8.91122887,13.96567220,7.42697785,0.00000000,0.00000000
1950.00000000,9.89191589,14.86909547,7.50266619,0.00000000,0.00000000
1980.00000000,10.29368739,15.62849961,4.77912126,0.00000000,0.00000000
2010.00000000,8.60755482,13.47924330,10.43120319,0.00000000,0.00000000
2040.00000000,10.46947945,13.50555441,11.97873115,0.00000000,0.00000000
2070.00000000,10.41345284,13.81448515,7.51598297,0.00000000,0.00000000
2100.00000000,10.98362417,13.44767638,7.40000000,0.00000000,0.00000000
2130.00000000,8.80056816,17.01646262,6.04648658,0.00000000,0.00000000
2160.00000000,10.26888504,17.33089726,6.87313611,0.00000000,0.00000000
2190.00000000,11.41227409,18.50432382,8.25893456,0.00000000,0.00000000
2220.00000000,8.70919055,15.70986951,5.95734840,0.00000000,0.00000000
2250.00000000,8.38808679,18.33603010,5.16139516,0.00000000,0.00000000
2280.00000000,8.12465384,15.86852230,5.45985348,0.00000000,0.00000000
2310.00000000,8.65158945,17.63632615,11.83891887,0.00000000,0.00000000
2340.00000000,10.01448950,19.27277873,10.24890238,0.00000000,0.00000000
2370.00000000,12.92903709,21.42801904,10.90137606,0.00000000,0.00000000
2400.00000000,11.19642800,20.64364309,12.31300126,0.00000000,0.00000000
2430.00000000,9.38296328,19.70786645,14.54785208,0.00000000,0.00000000
2460.00000000,10.04191217,19.63262591,11.64517067,0.00000000,0.00000000
2490.00000000,11.59482643,21.38223562,13.65613415,0.00000000,0.00000000
2520.00000000,12.82224629,20.57085317,13.02459212,0.00000000,0.00000000
2550.00000000,14.18449858,19.40721515,14.45544880,0.00000000,0.00000000
2580.00000000,13.84954873,15.99374878,11.63658025,0.00000000,0.00000000
2610.00000000,13.80724448,14.00178560,7.39256383,0.00000000,0.00000000
2640.00000000,12.44548111,11.97497390,7.03491293,0.00000000,0.00000000
2670.00000000,15.09171958,11.90000000,12.70472353,0.00000000,0.00000000
2700.00000000,16.84161512,14.69727866,13.16206671,0.00000000,0.00000000
2730.00000000,14.03424383,13.54400236,14.34189667,0.00000000,0.00000000
2760.00000000,16.56381599,15.90628806,15.88112087,0.00000000,0.00000000
2790.00000000,12.62537128,16.61445154,16.47452579,0.00000000,0.00000000
2820.00000000,15.44700618,14.44333756,15.40941271,0.00000000,0.00000000
2850.00000000,13.80000000,15.45994825,14.06733806,0.00000000,0.00000000
2880.00000000,12.92632972,17.03056077,16.51786911,0.00000000,0.00000000
2910.00000000,11.36705767,20.81826121,13.45213738,0.00000000,0.00000000
2940.00000000,16.14930339,21.54437282,14.73634962,0.00000000,0.00000000
2970.00000000,16.55173707,18.76272901,16.89378584,0.00000000,0.00000000
3000.00000000,14.01998573,16.76931722,12.95569373,0.00000000,0.00000000
3030.00000000,15.58974022,18.48918603,11.75755077,0.00000000,0.00000000
3060.00000000,14.93184516,20.57279757,15.11423170,0.00000000,0.00000000
3090.00000000,17.03408348,20.60800815,12.71062548,0.00000000,0.00000000
3120.00000000,14.35409349,24.73054791,15.28692252,0.00000000,0.00000000
3150.00000000,13.03878829,26.81119169,19.28963452,0.00000000,0.00000000
3180.00000000,15.47417203,24.51530134,17.08478856,0.00000000,0.00000000
3210.00000000,15.00033333,22.41004239,16.53753307,0.00000000,0.00000000
3240.00000000,16.54690303,22.88252608,16.15580391,0.00000000,0.00000000
3270.00000000,19.33287356,23.84973794,13.52627074,0.00000000,0.00000000
3300.00000000,20.31649576,26.79944029,13.87984150,0.00000000,0.00000000
3330.00000000,21.09241570,29.47202063,14.72277148,0.00000000,0.00000000
3360.00000000,22.51421773,29.19606138,17.77892010,0.00000000,0.00000000
3390.00000000,23.60275408,31.56089352,20.20890893,0.00000000,0.00000000
3420.00000000,22.56014184,31.25955854,22.63647499,0.00000000,0.00000000
3450.00000000,20.22893967,28.20088651,30.03930758,0.00000000,0.00000000
3480.00000000,20.88444397,32.23119607,25.88995944,0.00000000,0.00000000
3510.00000000,22.06354459,33.07279849,20.94492779,0.00000000,0.00000000
3540.00000000,23.63154671,32.86350560,18.34557167,0.00000000,0.00000000
3570.00000000,23.36321896,36.37595360,21.48231831,0.00000000,0.00000000
3600.00000000,24.14974120,34.40712136,23.08007799,0.00000000,0.00000000
