times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
1110.00000000,13.80434714,5.15848815,5.20000000,0.00000000,0.00000000
1140.00000000,11.58274579,5.11468474,5.40000000,0.00000000,0.00000000
1170.00000000,10.60000000,6.90217357,6.92531588,0.00000000,0.00000000
1200.00000000,9.85951317,8.91964125,5.61159514,0.00000000,0.00000000
1230.00000000,10.69392351,8.25166650,5.66480362,0.00000000,0.00000000
1260.00000000,9.15204895,7.24499827,5.95315043,0.00000000,0.00000000
1290.00000000,8.56095789,8.02558409,5.17783739,0.00000000,0.00000000
1320.00000000,6.93108938,8.08455317,4.20594817,0.00000000,0.00000000
1350.00000000,5.55427763,8.81419310,3.66606056,0.00000000,0.00000000
1380.00000000,6.56962708,10.59056184,4.56508488,0.00000000,0.00000000
1410.00000000,6.98569968,10.17300349,3.55105618,0.00000000,0.00000000
1440.00000000,10.09158065,9.50578771,5.09901951,0.00000000,0.00000000
1470.00000000,9.18749150,8.02246845,6.14491660,0.00000000,0.00000000
1500.00000000,5.69649015,8.04052237,7.16170371,0.00000000,0.00000000
1530.00000000,6.91664659,7.41889480,7.03491293,0.00000000,0.00000000
1560.00000000,9.03825204,7.68374908,5.39351462,0.00000000,0.00000000
1590.00000000,9.63119930,8.56095789,4.70744092,0.00000000,0.00000000
1620.00000000,9.89393754,9.23904757,2.60959767,0.00000000,0.00000000
1650.00000000,11.28937554,9.76729236,2.85657137,0.00000000,0.00000000
1680.00000000,9.00222195,9.14822387,5.18555686,0.00000000,0.00000000
1710.00000000,10.22545842,10.48808848,5.70613705,0.00000000,0.00000000
1740.00000000,6.63400332,10.65316854,6.77938050,0.00000000,0.00000000
1770.00000000,7.26704892,11.58835623,5.93632883,0.00000000,0.00000000
1800.00000000,9.97196069,11.21427662,7.11336770,0.00000000,0.00000000
1830.00000000,10.11137973,9.71853898,7.97558775,0.00000000,0.00000000
1860.00000000,9.76524449,10.78934660,6.87386354,0.00000000,0.00000000
1890.00000000,9.15696456,11.88318139,9.61041102,0.00000000,0.00000000
1920.00000000,10.74290464,12.06026534,7.41889480,0.00000000,0.00000000
1950.00000000,8.93588272,13.80905500,9.26066952,0.00000000,0.00000000
1980.00000000,8.14616474,13.57387196,11.15750868,0.00000000,0.00000000
2010.00000000,8.74299720,10.91833321,11.79194640,0.00000000,0.00000000
2040.00000000,11.48085363,12.03370267,10.36387958,0.00000000,0.00000000
2070.00000000,12.09297317,11.55162326,9.44245731,0.00000000,0.00000000
2100.00000000,12.34341930,10.71494284,10.03992032,0.00000000,0.00000000
2130.00000000,14.29720252,12.89030644,9.46784030,0.00000000,0.00000000
2160.00000000,13.27252802,12.08676963,9.82089609,0.00000000,0.00000000
2190.00000000,15.71750616,11.73072888,9.47048045,0.00000000,0.00000000
2220.00000000,17.33810832,12.32923355,10.33634365,0.00000000,0.00000000
2250.00000000,16.40853436,14.23376268,9.68555626,0.00000000,0.00000000
2280.00000000,18.72137815,15.02697574,6.97782201,0.00000000,0.00000000
2310.00000000,15.40811475,17.04582060,6.46915760,0.00000000,0.00000000
2340.00000000,19.75955465,17.72004515,7.72269383,0.00000000,0.00000000
2370.00000000,21.36913662,16.76424767,9.30806102,0.00000000,0.00000000
2400.00000000,21.62498555,18.40217378,8.29698741,0.00000000,0.00000000
2430.00000000,22.24050359,15.62049935,7.75951029,0.00000000,0.00000000
2460.00000000,23.60275408,14.30524379,8.61916469,0.00000000,0.00000000
2490.00000000,22.25398841,14.87413863,11.82412787,0.00000000,0.00000000
2520.00000000,19.98724593,13.57055636,13.01575968,0.00000000,0.00000000
2550.00000000,20.06215342,13.77715500,14.29300528,0.00000000,0.00000000
2580.00000000,19.21874085,15.86694678,14.46547614,0.00000000,0.00000000
2610.00000000,22.56989145,17.66465397,14.04421589,0.00000000,0.00000000
2640.00000000,24.20330556,15.06784656,14.27760484,0.00000000,0.00000000
2670.00000000,26.76490239,14.90771612,14.95326051,0.00000000,0.00000000
2700.00000000,23.23015282,20.04519893,15.71909667,0.00000000,0.00000000
2730.00000000,23.51595203,19.29378138,12.96765206,0.00000000,0.00000000
2760.00000000,25.58046129,17.51256692,13.20000000,0.00000000,0.00000000
2790.00000000,22.56191481,19.66748586,14.95326051,0.00000000,0.00000000
2820.00000000,20.68719411,21.81490316,15.41946821,0.00000000,0.00000000
2850.00000000,27.28534405,21.29413065,12.27354879,0.00000000,0.00000000
2880.00000000,25.94918110,20.16953148,11.19866063,0.00000000,0.00000000
2910.00000000,27.58695344,21.47463620,10.30776406,0.00000000,0.00000000
2940.00000000,28.29134143,23.51616465,11.31768528,0.00000000,0.00000000
2970.00000000,27.51163390,24.60000000,13.00922749,0.00000000,0.00000000
3000.00000000,28.49017374,23.12249986,16.25453783,0.00000000,0.00000000
3030.00000000,28.91297287,23.27853088,17.32512626,0.00000000,0.00000000
3060.00000000,25.41180828,22.77630348,16.94225487,0.00000000,0.00000000
3090.00000000,29.64472972,22.84819468,21.36375435,0.00000000,0.00000000
3120.00000000,35.02513383,21.50906786,18.29098138,0.00000000,0.00000000
3150.00000000,38.56682512,24.40102457,17.44591643,0.00000000,0.00000000
3180.00000000,41.83347942,23.65079280,17.68615278,0.00000000,0.00000000
3210.00000000,42.35374836,22.45974176,19.01078641,0.00000000,0.00000000
3240.00000000,36.98702475,23.56459208,19.63058838,0.00000000,0.00000000
3270.00000000,37.56274750,27.73535650,18.00555470,0.00000000,0.00000000
3300.00000000,37.01945434,30.25888299,17.11256848,0.00000000,0.00000000
3330.00000000,38.43709146,30.76101429,18.38586414,0.00000000,0.00000000
3360.00000000,38.21635775,31.96013141,16.57136084,0.00000000,0.00000000
3390.00000000,44.55389994,32.57130639,19.48948434,0.00000000,0.00000000
3420.00000000,38.34853322,37.34287081,18.24390309,0.00000000,0.00000000
3450.00000000,34.64043880,40.24922359,21.15868616,0.00000000,0.00000000
3480.00000000,34.15552664,43.18518264,17.33666635,0.00000000,0.00000000
3510.00000000,41.25578747,42.84810381,14.65230357,0.00000000,0.00000000
3540.00000000,42.21089907,42.73920916,15.90471628,0.00000000,0.00000000
3570.00000000,45.36529511,44.25934929,10.01798383,0.00000000,0.00000000
3600.00000000,48.88148934,44.26838601,11.64474130,0.00000000,0.00000000
