times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
1350.00000000,6.25779514,9.13290753,4.99599840,1.72046505,2.02237484,0.00000000
1380.00000000,7.71297608,9.20054346,5.04876222,3.07245830,1.83303028,0.00000000
1410.00000000,9.70000000,9.99199680,6.23297682,2.00249844,1.73205081,0.00000000
1440.00000000,10.98225842,9.61249187,6.06959636,3.37638860,1.85741756,0.00000000
1470.00000000,8.56796359,9.13509715,5.95399026,2.19089023,2.18174242,0.00000000
1500.00000000,8.64869932,7.12811335,5.74108004,3.25729949,2.28035085,0.00000000
1530.00000000,9.56869897,7.58221603,5.38516481,2.35796522,2.02237484,0.00000000
1560.00000000,10.67895126,7.79037868,4.00499688,3.38969025,2.15406592,0.00000000
1590.00000000,8.23711114,8.03990050,4.10365691,4.00624512,2.53771551,0.00000000
1620.00000000,7.95550124,9.46572765,4.26614580,3.22645316,2.53968502,0.00000000
1650.00000000,7.49933330,7.93977330,5.70000000,4.02988834,2.57875939,0.00000000
1680.00000000,10.16316880,9.86711711,5.27351875,3.08058436,2.82842712,0.00000000
1710.00000000,10.75220908,9.06697303,4.85798312,2.14476106,2.79284801,0.00000000
1740.00000000,9.14549069,9.23525852,3.01496269,3.84837628,2.69072481,0.00000000
1770.00000000,10.66020638,8.52584307,3.57211422,3.58468967,2.57099203,0.00000000
1800.00000000,11.46996077,8.38391317,4.47660586,4.00499688,2.00997512,0.00000000
1830.00000000,13.24990566,7.96241169,6.51229606,3.29241553,1.85472370,0.00000000
1860.00000000,11.76435294,8.80056816,7.04627561,2.90688837,2.25610283,0.00000000
1890.00000000,12.41128519,8.04735982,6.90579467,2.89827535,2.21133444,0.00000000
1920.00000000,14.03424383,10.40240357,7.22495675,2.10950231,2.38537209,0.00000000
1950.00000000,14.59314908,11.12699420,8.83685464,2.20000000,2.56124969,0.00000000
1980.00000000,12.57020286,10.03792807,8.30903123,3.09838668,3.13049517,0.00000000
2010.00000000,13.30563790,9.01332347,7.78524245,3.12409987,2.89136646,0.00000000
2040.00000000,12.53634716,8.54634425,7.63478880,1.66132477,2.48193473,0.00000000
2070.00000000,13.62497706,9.84885780,8.08022277,2.04939015,2.08806130,0.00000000
2100.00000000,11.18928058,11.33137238,6.67008246,2.49198716,1.83303028,0.00000000
2130.00000000,13.74918179,9.61041102,6.17170965,2.65329983,1.79164729,0.00000000
2160.00000000,12.21515452,8.19084855,7.83836718,3.70000000,1.85741756,0.00000000
2190.00000000,13.13049885,10.29757253,7.31368580,2.77308492,2.32379001,0.00000000
2220.00000000,15.02963739,12.23315168,4.29534632,3.74299345,2.41660919,0.00000000
2250.00000000,13.25141502,11.13597773,7.98060148,3.91024296,2.82134720,0.00000000
2280.00000000,13.28194263,13.03226765,8.55862138,3.41174442,2.78567766,0.00000000
2310.00000000,14.16509795,14.51068572,8.13387976,5.77927331,2.38537209,0.00000000
2340.00000000,14.10815367,15.51257554,5.36656315,5.96992462,2.52190404,0.00000000
2370.00000000,15.61057334,16.59397481,7.23602101,3.23264598,2.11896201,0.00000000
2400.00000000,15.31176019,16.43198101,8.60523097,2.77308492,2.58650343,0.00000000
2430.00000000,13.33566646,17.33089726,7.12460525,3.12409987,2.54754784,0.00000000
2460.00000000,13.12592854,18.23293723,6.63400332,2.90688837,2.66270539,0.00000000
2490.00000000,14.08154821,19.83154054,8.20304821,4.60868745,2.73678644,0.00000000
2520.00000000,16.58915308,18.55801714,7.21110255,5.47813837,2.64764046,0.00000000
2550.00000000,16.13195586,16.31226532,6.22012862,7.25878778,2.52190404,0.00000000
2580.00000000,14.67105995,13.36450523,5.60446251,6.02411819,2.60000000,0.00000000
2610.00000000,17.30780171,11.67090399,5.85234996,5.95734840,3.21869539,0.00000000
2640.00000000,17.79775267,12.71219887,4.96386946,4.94064773,3.38378486,0.00000000
2670.00000000,16.60843159,16.01530518,3.97617907,5.19615242,3.40734501,0.00000000
2700.00000000,19.75575865,14.62908063,6.05722709,5.72800140,3.82622529,0.00000000
2730.00000000,20.14571915,12.91859125,5.44150714,6.24579859,3.70944740,0.00000000
2760.00000000,18.07318456,14.33317829,4.38634244,4.26731766,3.60555128,0.00000000
2790.00000000,19.48743185,14.64274564,6.08358447,4.81248377,3.44818793,0.00000000
