times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std,apoptotic_std,necrotic_std
2250.00000000,64.42980677,60.68245216,30.71563120,12.43422696,8.41961994,0.00000000
2280.00000000,70.38067917,63.75547035,22.93577991,10.24743870,8.94427191,0.00000000
2310.00000000,69.02782048,62.33490194,23.68311635,14.40867794,8.43800924,0.00000000
2340.00000000,63.94286512,68.37316725,22.70594636,15.97998748,10.36146708,0.00000000
2370.00000000,67.96182752,69.95148319,23.24413905,14.77193285,10.79305332,0.00000000
2400.00000000,58.98813440,64.53092282,21.70000000,16.38169710,12.28657804,0.00000000
2430.00000000,72.97321426,60.94128322,23.97686385,16.74395413,13.60294086,0.00000000
2460.00000000,72.83295957,60.94423681,26.88865932,15.53994852,14.57532161,0.00000000
2490.00000000,69.53135983,73.88071467,28.79583303,11.81355154,14.62053351,0.00000000
2520.00000000,68.86661020,74.76603507,20.55237213,13.77098399,12.82185634,0.00000000
2550.00000000,51.37324206,78.28179865,28.82290756,12.77066952,10.78007421,0.00000000
2580.00000000,61.02302844,80.17006923,33.21806737,12.32720568,9.64831592,0.00000000
2610.00000000,50.70355017,88.63295098,27.76400547,13.72916603,9.68555626,0.00000000
2640.00000000,61.08223964,85.04375344,29.91471210,15.47287950,9.29569793,0.00000000
2670.00000000,63.46187832,82.57093920,34.55777771,8.79147314,8.90224691,0.00000000
2700.00000000,48.61851499,87.06296572,31.78065449,17.49542797,8.05046583,0.00000000
2730.00000000,46.91524273,92.94326226,35.70168063,17.19767426,6.17737808,0.00000000
2760.00000000,52.88137668,89.03645321,41.24330249,15.21873845,6.46838465,0.00000000
2790.00000000,59.86660171,87.35130222,41.00926725,20.86264605,5.92030405,0.00000000
2820.00000000,71.69546708,91.31401864,35.69873947,21.94994305,7.72269383,0.00000000
2850.00000000,79.36145160,103.00101941,39.02422325,15.28561415,7.40000000,0.00000000
2880.00000000,81.72178412,103.79113642,45.36077601,14.34189667,7.55579248,0.00000000
2910.00000000,82.46332518,112.84041829,47.65553483,13.07669683,8.36002392,0.00000000
2940.00000000,77.16320367,110.40475533,43.97783533,24.34419849,11.37057606,0.00000000
2970.00000000,67.75544259,108.01856322,44.82231587,20.46558086,11.29114697,0.00000000
3000.00000000,59.87829323,106.75485937,46.40140084,17.52712184,13.35514882,0.00000000
3030.00000000,62.39551266,110.81376268,40.54491337,14.92950100,14.11523999,0.00000000
3060.00000000,75.32569283,115.54323866,44.51471667,16.02778837,10.58536726,0.00000000
3090.00000000,85.02523155,103.39830753,53.68947755,21.11421322,9.99799980,0.00000000
3120.00000000,83.69641569,102.13735849,48.30113870,18.82445218,12.54432142,0.00000000
3150.00000000,81.19415004,91.92959262,57.89680475,23.41046774,13.36749790,0.00000000
3180.00000000,81.22074858,97.76753040,55.82015765,23.72361692,12.99846145,0.00000000
3210.00000000,100.65411070,93.79898720,54.89626581,19.17002869,13.14876420,0.00000000
3240.00000000,92.58401590,107.33331263,51.20986233,23.34095114,12.95569373,0.00000000
3270.00000000,95.25234905,112.19732617,58.96956842,17.82582396,11.81693700,0.00000000
3300.00000000,99.91641507,111.59193519,49.87474311,16.67603070,11.99166377,0.00000000
3330.00000000,96.03546220,110.33875113,57.54163710,17.51028269,13.68356679,0.00000000
3360.00000000,83.17722044,116.43388682,49.81726608,24.28497478,13.54843164,0.00000000
3390.00000000,72.15601153,112.17415032,51.95969592,27.25087155,15.07182802,0.00000000
3420.00000000,79.50603751,98.83546934,55.04543578,30.11644069,15.31306632,0.00000000
3450.00000000,79.28360486,101.04672187,60.14723601,30.70911917,14.71597771,0.00000000
3480.00000000,70.48127411,109.92797642,64.38353827,28.66077459,11.50651989,0.00000000
3510.00000000,77.43132441,109.64232759,66.70569691,24.32878953,12.63170614,0.00000000
3540.00000000,89.59575883,117.20601520,73.24315668,20.45507272,11.71366723,0.00000000
3570.00000000,101.95371499,126.39873417,66.84945774,23.86713221,12.24132346,0.00000000
3600.00000000,103.03183974,129.56836034,62.24861444,24.47856205,11.75755077,0.00000000
