times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
1980.00000000,8.69770085,7.11407056,5.07937004,2.04939015,0.00000000
2010.00000000,10.18037327,5.79655070,5.38144962,2.22710575,0.00000000
2040.00000000,10.52093152,5.22015325,4.16653333,2.15406592,0.00000000
2070.00000000,12.35475617,6.74091982,4.49555336,2.18174242,0.00000000
2100.00000000,10.79120012,10.03194896,4.88773976,2.45967478,0.00000000
2130.00000000,14.19330828,11.51043005,4.48218697,2.28910463,0.00000000
2160.00000000,14.80844354,10.39278596,3.31058907,2.24499443,0.00000000
2190.00000000,12.14907404,10.24158191,5.30000000,2.05912603,0.00000000
2220.00000000,12.92130024,9.64624279,5.32916504,1.68522995,0.00000000
2250.00000000,7.23602101,10.45753317,8.46463230,2.11896201,0.00000000
2280.00000000,10.92748827,11.90965994,9.21737490,2.33238076,0.00000000
2310.00000000,13.34503653,11.71708155,8.28009662,2.23606798,0.00000000
2340.00000000,9.43451112,9.82038696,7.20832852,2.28254244,0.00000000
2370.00000000,8.57962703,12.52557384,6.98283610,2.27156334,0.00000000
2400.00000000,11.52388823,11.80720119,9.18477000,1.67332005,0.00000000
2430.00000000,11.18078709,12.10000000,7.59539334,2.10950231,0.00000000
2460.00000000,13.01883251,12.38103388,7.37292344,2.71293199,0.00000000
2490.00000000,12.67320007,11.03449138,7.45721128,2.52982213,0.00000000
2520.00000000,10.03444069,11.82412787,6.39061812,3.07408523,0.00000000
2550.00000000,11.15347479,10.07174265,7.28628849,3.19374388,0.00000000
2580.00000000,10.60424443,11.68075340,5.59374651,3.45832329,0.00000000
2610.00000000,7.24223722,12.33734169,7.19791637,3.46987031,0.00000000
2640.00000000,7.52396172,10.59056184,9.39361485,3.57910603,0.00000000
2670.00000000,8.75271386,11.37717012,9.27846970,4.33128157,0.00000000
2700.00000000,10.12126474,11.40000000,10.55888252,4.55631430,0.00000000
2730.00000000,13.05220288,12.57020286,8.70861642,4.95580468,0.00000000
2760.00000000,13.33454161,12.28861261,8.53463532,5.15363949,0.00000000
2790.00000000,16.78958010,12.61903324,9.21086315,5.18555686,0.00000000
2820.00000000,15.91728620,12.32233744,9.20054346,4.99599840,0.00000000
2850.00000000,13.95134402,11.90798052,9.32791509,4.58693798,0.00000000
2880.00000000,14.44160656,12.83588719,9.79846927,4.35430821,0.00000000
2910.00000000,15.27088734,13.38245120,8.31865374,4.40567815,0.00000000
2940.00000000,15.57048490,13.92156600,8.92692556,4.85901225,0.00000000
2970.00000000,15.70222914,13.87263493,11.04581369,4.45982062,0.00000000
3000.00000000,17.26962652,9.46784030,12.53634716,4.27668096,0.00000000
3030.00000000,16.09627286,11.11260546,11.40876856,4.41474801,0.00000000
3060.00000000,12.94951737,12.28006515,10.32521186,3.82230297,0.00000000
3090.00000000,12.58769240,13.77860661,12.34868414,3.22645316,0.00000000
3120.00000000,16.85348629,12.49359836,10.28639879,3.29393382,0.00000000
3150.00000000,18.40217378,12.16100325,8.01498596,3.10000000,0.00000000
3180.00000000,18.63571839,15.30359435,8.80284045,3.38230691,0.00000000
3210.00000000,18.90634814,13.97461985,8.56504524,2.70000000,0.00000000
3240.00000000,21.19174368,12.31462545,9.55248659,2.72763634,0.00000000
3270.00000000,20.88085247,14.32619978,10.74476617,2.72946881,0.00000000
3300.00000000,21.18041548,15.17102501,13.81448515,3.37786915,0.00000000
3330.00000000,17.28612160,19.72840592,13.18938968,2.97321375,0.00000000
3360.00000000,15.70477634,20.87965517,14.74584687,2.85657137,0.00000000
3390.00000000,17.86197078,20.32953516,13.18483978,3.51567917,0.00000000
3420.00000000,17.41723285,17.31040150,11.70299107,3.26955654,0.00000000
3450.00000000,21.75982537,18.98130659,12.13466110,2.96816442,0.00000000
3480.00000000,20.02598312,19.39716474,11.55897919,3.43656806,0.00000000
3510.00000000,22.66362725,18.57525235,11.39341915,3.93573373,0.00000000
3540.00000000,24.62214450,20.59344556,12.30447073,3.90000000,0.00000000
3570.00000000,24.43685741,18.88491461,11.29114697,3.94461658,0.00000000
3600.00000000,25.50470545,14.71088033,10.17644339,4.01995025,0.00000000
