times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
690.00000000,9.41753683,3.57770876,5.63914887,2.37486842,2.07123152,0.00000000
720.00000000,6.74462749,4.94873721,5.68242906,2.68514432,2.11896201,0.00000000
750.00000000,7.68439978,6.81835757,7.35119038,2.00000000,1.86815417,0.00000000
780.00000000,10.04440143,7.40877858,5.84893153,2.53771551,1.81383571,0.00000000
810.00000000,11.42847321,7.72593036,5.37028863,2.95972972,1.86815417,0.00000000
840.00000000,8.96716232,7.38173421,4.77912126,2.45764115,1.84390889,0.00000000
870.00000000,8.88200428,9.60676845,4.30000000,1.62788206,1.70000000,0.00000000
900.00000000,8.62554346,8.73842091,3.47131099,1.80000000,1.73205081,0.00000000
930.00000000,8.87693641,8.57962703,2.29128785,2.80178515,1.81383571,0.00000000
960.00000000,10.34214678,9.38562731,4.07430976,3.78945906,1.73205081,0.00000000
990.00000000,9.98999499,9.44933860,3.94461658,3.12409987,1.73205081,0.00000000
1020.00000000,10.47902667,9.61249187,3.82230297,1.88679623,1.67630546,0.00000000
1050.00000000,8.73842091,7.42697785,4.64758002,2.00249844,1.62788206,0.00000000
1080.00000000,7.08519583,6.39061812,4.74236228,1.89736660,1.16619038,0.00000000
1110.00000000,7.86384130,7.65245059,4.89489530,2.41039416,0.91651514,0.00000000
1140.00000000,7.20000000,7.19444230,4.36348485,2.80000000,0.87177979,0.00000000
1170.00000000,6.88839604,5.84807661,3.97617907,2.65518361,1.09544512,0.00000000
1200.00000000,9.95188424,5.29528092,5.34415569,2.84429253,1.51327460,0.00000000
1230.00000000,9.00888450,3.80131556,4.63033476,3.19530906,1.35646600,0.00000000
1260.00000000,8.94930165,5.81721583,6.18789140,3.20000000,1.50000000,0.00000000
1290.00000000,7.40540343,4.97995984,5.67097875,2.40000000,1.90000000,0.00000000
1320.00000000,6.86731389,6.94262198,6.40390506,2.22710575,1.79164729,0.00000000
1350.00000000,9.17823512,9.13454980,6.82934843,3.44093011,1.90000000,0.00000000
1380.00000000,9.45568612,8.30722577,5.13419906,2.87228132,2.60959767,0.00000000
1410.00000000,9.20000000,9.14549069,3.86781592,3.73630834,2.69072481,0.00000000
1440.00000000,9.61041102,11.52779250,4.56508488,2.31516738,3.23109888,0.00000000
1470.00000000,9.82649480,11.52779250,4.92848861,2.52982213,3.30000000,0.00000000
1500.00000000,9.93025679,9.79591752,5.49636243,2.05912603,3.08058436,0.00000000
1530.00000000,11.10900536,11.11980216,6.75647837,2.11896201,3.41906420,0.00000000
1560.00000000,9.14111591,12.10000000,6.95988506,1.95192213,2.84429253,0.00000000
1590.00000000,9.74730732,13.37759321,7.98999374,3.10644491,2.87054002,0.00000000
1620.00000000,7.68700202,11.85284776,6.35295207,2.14709106,3.04795013,0.00000000
1650.00000000,8.60755482,11.98165264,8.30421580,2.86530976,3.40734501,0.00000000
1680.00000000,11.36177803,9.13236005,6.28092350,3.90512484,2.80178515,0.00000000
1710.00000000,12.91355877,8.27586853,6.53911309,2.75862284,2.83725219,0.00000000
1740.00000000,10.65879918,8.63944443,7.91517530,3.12409987,2.69072481,0.00000000
1770.00000000,9.70618360,7.61314652,7.44916103,2.83019434,2.45153013,0.00000000
1800.00000000,6.18789140,7.87464285,5.57584074,3.13209195,2.61533937,0.00000000
1830.00000000,8.37197707,9.41275730,6.26817358,3.38378486,2.32594067,0.00000000
1860.00000000,5.49636243,10.84850220,6.94910066,2.49198716,2.41660919,0.00000000
1890.00000000,9.65867486,13.34166406,5.12737750,4.41474801,1.93907194,0.00000000
1920.00000000,9.48894093,12.29634092,4.62709412,4.47325385,2.22710575,0.00000000
1950.00000000,10.27423963,13.44023809,7.63151361,3.51567917,2.28254244,0.00000000
1980.00000000,13.62497706,13.80724448,7.02068373,3.22645316,2.32594067,0.00000000
2010.00000000,14.86741403,11.69786305,7.22841615,1.85472370,2.45153013,0.00000000
2040.00000000,17.77104386,9.88989383,7.15262190,3.99499687,2.61725047,0.00000000
2070.00000000,13.27554142,7.21456859,8.49058302,3.21869539,3.03973683,0.00000000
2100.00000000,12.46434916,8.27284715,9.39627586,4.84664833,3.05941171,0.00000000
2130.00000000,11.34944933,10.65316854,11.09459328,4.27668096,2.92574777,0.00000000
2160.00000000,13.65869686,10.58347769,11.14629983,3.94968353,2.65518361,0.00000000
2190.00000000,8.97775027,10.49047187,9.31879821,3.47706773,2.83548938,0.00000000
2220.00000000,8.06287790,8.98943825,9.51840323,4.40567815,3.13847097,0.00000000
2250.00000000,14.01285124,9.38296328,9.47417543,3.82230297,3.02654919,0.00000000
2280.00000000,14.52033057,8.64233765,9.88736568,3.81575681,3.23109888,0.00000000
2310.00000000,12.89030644,10.53992410,10.62826420,3.63868108,3.16385840,0.00000000
2340.00000000,9.80815987,11.99374837,9.47048045,3.45832329,2.53179778,0.00000000
2370.00000000,9.26282894,12.20819397,6.59469484,4.00124980,2.53771551,0.00000000
2400.00000000,9.94183082,13.59264507,5.08428953,5.29622507,2.50000000,0.00000000
2430.00000000,9.96794864,16.84903558,4.31740663,3.78021163,1.70000000,0.00000000
2460.00000000,9.50578771,16.80505876,3.89358447,5.96992462,2.38537209,0.00000000
2490.00000000,11.61895004,18.23979167,4.22965720,5.83866423,2.32379001,0.00000000
2520.00000000,11.99208072,17.41522323,5.94978991,3.23109888,2.76405499,0.00000000
2550.00000000,19.77877650,19.12589867,5.86600375,3.49857114,2.61725047,0.00000000
2580.00000000,18.27265717,18.87749983,8.87468309,4.06939799,3.25576412,0.00000000
2610.00000000,14.90503271,17.39683879,8.38808679,4.00499688,3.25576412,0.00000000
2640.00000000,14.72548811,14.91475779,9.27361850,4.45084262,3.05941171,0.00000000
2670.00000000,10.46135746,14.36523581,10.57544325,4.10974452,2.80000000,0.00000000
2700.00000000,6.74166152,11.77327482,11.84905059,4.20000000,2.80891438,0.00000000
2730.00000000,7.76144316,12.24785696,11.22007130,5.74456265,2.90000000,0.00000000
2760.00000000,10.96540013,10.60377291,10.97679370,5.71401785,2.64764046,0.00000000
2790.00000000,11.81058847,12.12270597,8.62612312,5.44426304,2.75680975,0.00000000
2820.00000000,11.94529196,15.64129151,9.32737905,5.86174036,2.82134720,0.00000000
2850.00000000,8.22739327,13.27554142,9.05317624,5.96322061,3.09838668,0.00000000
2880.00000000,15.76071064,11.01135777,5.95063022,4.84148737,2.44948974,0.00000000
2910.00000000,19.29248558,13.03226765,8.25590698,4.60434577,2.80891438,0.00000000
2940.00000000,17.89972067,13.27742445,10.46709129,5.69297813,3.22645316,0.00000000
2970.00000000,14.28845688,14.95192295,10.65645344,5.33760246,3.43656806,0.00000000
3000.00000000,15.95744340,12.89806187,10.20588066,4.19046537,3.19530906,0.00000000
3030.00000000,13.56650287,11.48433716,9.51262319,2.65329983,4.18210473,0.00000000
3060.00000000,12.61150269,10.12373449,9.49157521,5.99082632,4.45982062,0.00000000
3090.00000000,12.29186723,11.35825691,9.88736568,4.02492236,4.07553677,0.00000000
3120.00000000,14.51378655,12.81561547,11.06752005,4.38178046,3.92937654,0.00000000
3150.00000000,16.91153453,13.96459810,12.28372908,3.82622529,3.62767143,0.00000000
3180.00000000,21.98999773,14.40694277,11.61722859,3.28785644,3.36005952,0.00000000
3210.00000000,18.66788686,14.11417727,12.63328936,5.29622507,3.66196668,0.00000000
3240.00000000,16.17065243,12.49639948,11.08557621,7.03135833,3.68781778,0.00000000
3270.00000000,15.37563007,11.21650569,7.05407684,7.07177488,3.75366488,0.00000000
3300.00000000,12.32071427,14.33736377,9.91211380,4.81248377,3.89358447,0.00000000
3330.00000000,11.85073837,15.02298239,9.45780101,6.60378679,4.09878031,0.00000000
3360.00000000,13.33454161,16.16044554,7.37292344,7.53392328,4.05092582,0.00000000
3390.00000000,18.78004260,14.26218777,9.75499872,6.52993109,3.87427413,0.00000000
3420.00000000,26.96683148,15.95650338,11.02769242,5.40370243,4.52658812,0.00000000
3450.00000000,19.49256268,14.64240417,13.05565012,6.93469538,4.96890330,0.00000000
3480.00000000,22.09434317,16.85823241,11.56762724,6.97208721,4.51774280,0.00000000
3510.00000000,28.16043324,14.96128337,12.18031198,5.23545605,4.51220567,0.00000000
3540.00000000,27.72796422,14.92682150,13.21514283,6.84397545,4.19046537,0.00000000
3570.00000000,25.53037407,16.40000000,11.31194059,6.80367548,4.49888875,0.00000000
3600.00000000,23.89581553,14.70680115,13.99464183,5.49636243,4.15812458,0.00000000
